sy_snum,sy_pnum,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,planet_type
1.0,2.0,11.811437,0.2385,0.0988,2.3,11.649999999999999,129.0,1480.0,2.0,5765.0,0.93,0.94,-0.39,1.0,4.4,Neptune-like
1.0,2.0,13.603,0.2,0.098,2.586,11.649999999999999,39.45,536.0,1.0,4684.0,0.67,0.69,-0.137,1.0,4.62,Neptune-like
1.0,2.0,65.55,0.2,0.28,2.69,11.649999999999999,2.995,316.0,1.0,4684.0,0.67,0.69,-0.137,1.0,4.62,Neptune-like
1.0,1.0,0.762406,0.199651,0.01514,0.99,0.83,1768.0,1304.5,2.0,5620.0,0.89,0.865,0.28,1.0,4.5,Terrestrial
1.0,2.0,0.70531,0.195,0.0139,1.6,3.6500000000000004,355.5,1026.5,2.0,5499.0,1.0,1.04,-0.23,1.0,4.5,Super Earth
1.0,2.0,0.571212,0.119651,0.010005,1.6,3.6500000000000004,1768.0,1304.5,2.0,5613.0,0.95,0.845,0.01,1.0,4.6,Super Earth
1.0,2.0,13.334615,0.03165,0.08005000000000001,2.2,11.649999999999999,1768.0,863.0,0.0,5613.0,0.95,0.59,0.01,1.0,4.6,Neptune-like
1.0,1.0,0.728113,0.1245,0.01332,1.1,3.6500000000000004,5.949999999999999,702.5,0.0,3782.0,0.32,0.37,-0.18,1.0,5.0,Super Earth
2.0,1.0,6.180235,0.0,0.07229,11.781,953.49,642.0,1401.0,3.0,6202.0,1.59,1.32,0.141,1.0,4.16,Gas Giant
1.0,1.0,3650.0,0.0,4.5,12.442,4131.79,0.19,183.0,2.0,4898.0,2.7,0.9,-0.23,1.0,3.52,Gas Giant
1.0,3.0,3.5951,0.06,0.047,1.95,8.75,1037.0,1616.0,2.0,5430.0,1.71,1.05,0.2,1.0,3.99,Super Earth
1.0,3.0,15.624,0.07,0.13,3.67,14.67,160.0,990.0,2.0,5430.0,1.71,1.05,0.2,1.0,3.99,Neptune-like
